45,22.68475,178.13725
45.5,22.11075,178.081
46,21.529,178.03825
46.5,20.94825,177.9615
47,20.3695,177.90025
47.5,19.77125,177.79525
48,19.1785,177.74825
48.5,18.567,177.646
49,17.95225,177.558
49.5,17.3245,177.42025
50,16.67475,177.29225
50.5,16.05575,177.18975
51,15.4085,176.95725
51.5,14.746,176.903
52,14.08125,176.70225
52.5,13.41,176.54225
53,12.735,176.324
53.5,12.06775,176.0565
54,11.37025,175.8005
54.5,10.67725,175.5175
55,9.97425,175.165
55.5,9.261,174.7305
56,8.55125,174.2635
56.5,7.84075,173.745
57,7.11425,173.00425
57.5,6.38675,172.2715
58,5.649,171.11875
58.5,4.9045,169.78525
59,4.17725,167.73025
59.5,3.4585,164.743
60,2.73925,159.8315
60.5,2.04875,148.98575
61,1.51775,122.24325
61.5,1.35225,90.627
62,1.42575,69.42
62.5,1.74025,45.81325
63,2.3125,29.063
63.5,3.01225,20.0765
64,3.7625,15.26
64.5,4.522,12.2075
65,5.29075,10.16525
65.5,6.07375,8.72875
66,6.8605,7.57525
66.5,7.65075,6.6895
67,8.45425,6.035
67.5,9.2495,5.4555
68,10.0485,4.97375
68.5,10.83875,4.55425
69,11.628,4.18325
69.5,12.4325,3.82425
70,13.23925,3.574
70.5,14.0445,3.32275
71,14.862,3.10625
71.5,15.64875,2.919
72,16.4665,2.74675
72.5,17.25625,2.55725
73,18.0605,2.42525
73.5,18.886,2.299
74,19.67625,2.1415
74.5,20.48625,2.03625
75,21.28175,1.919
